X,Y
8.34,480.48
23.64,445.75
29.74,438.76
19.07,453.09
11.8,464.43
13.97,470.96
22.1,442.35
14.47,464
31.25,428.77
6.77,484.31
28.28,435.29
22.99,451.41
29.3,426.25
8.14,480.66
16.92,460.17
22.72,453.13
18.14,461.71
11.49,471.08
9.94,473.74
23.54,448.56
14.9,464.82
33.8,427.28
25.37,441.76
7.29,474.71
13.55,467.21
6.39,487.69
26.64,438.67
7.84,485.66
21.82,452.16
27.17,429.87
13.42,468.82
20.77,442.85
8.29,483.26
30.98,433.59
31.96,433.04
15.83,458.6
22.56,435.14
25.91,443.2
8.24,477.9
24.66,445.26
29.31,435.57
21.48,447.42
18.28,462.28
26.96,441.81
16.01,454.16
27.37,437.24
16.3,464.11
23.8,440.89
8.19,485.2
25.28,445.34
21.47,440
30.54,431.35
18.3,456.32
25.82,432.98
31.12,429.41
15.99,464.95
8.42,481.91
23.7,437.15
15.71,462.6
29.11,432.43
23.73,442.22
28.26,441.03
15.92,468.91
33.4,432.46
31.92,430.07
26.87,437.78
5.23,483.12
15.72,462.19
17.74,457.71
27.13,438.32
25.82,434.35
34.2,427.05
19.13,448.69
11.77,475.88
10.25,479.28
23.82,446.85
30.1,434.99
29.92,441.5
29.63,433.26
30.61,430.46
16.18,455.14
31.66,431.26
29.14,437.76
18.4,464.63
15.86,462.58
6.31,483.27
23.4,438.51
33.62,431.03
6.89,484
27.41,431.64
26.37,451.78
26.58,439.46
15.25,467.23
21.24,459.81
24.98,447.15
26.63,442
18.87,449.61
5.12,481.28
31.1,437.54
7.91,475.52
14.97,458.68
28.92,436.76
22.92,446.08
12.55,474.35
9.38,481.96
10.28,479.66
30.31,435.28
25.34,434.86
30.47,435.72
20.18,454.14
21.31,455.76
22.1,442.83
20.09,449.47
22.36,445.76
9.43,473.57
28.86,435.75
23.25,437.96
22.7,438.59
21.3,444.21
19.94,459.47
14.97,465.54
13.83,458.85
23.39,435.68
21.48,449.2
22.63,445.43
20.01,453.96
20.52,463.93
13.58,465.82
14.38,471.6
28.53,427.72
13.89,468.54
25.93,434.08
17.84,454.57
6.28,489.79
8.16,481.78
18.61,443.57
16.23,457.9
8.66,472.16
19.53,451.19
10.17,470.33
6.48,486.68
12.69,472.68
23.77,445.72
14.43,466.58
28.25,436.99
12.26,470.87
14.55,457.77
24.57,448.15
10.25,476.03
21.96,442.87
9.82,477.93
18.58,459.06
20.57,456.18
8.61,473.62
9.99,473.64
13.97,463.64
16.76,462.44
25.58,454.39
17.34,452.06
19.13,453.31
12.75,466.93
29.46,436.37
15.59,458.87
14.2,470.67
14.05,475.54
32.35,432.72
21.41,441.41
10.61,472.9
19.13,457.83
17.28,462.05
24.79,445.3
28.66,435.94
12.91,472.71
17.32,464.5
18.74,449.77
26.69,435.04
12.28,472.47
14.46,459.31
30.54,434.62
27.58,435.34
32.17,430.64
26.23,447.16
11.69,471.72
14.73,470.41
12.36,468.37
9.52,483.59
27.32,432.74
23.81,438.11
7.92,484.75
23.58,445.01
20.78,445.82
19.68,452.47
14.12,459.76
22.97,445.3
6.89,486.9
19.98,454.89
21.71,441.19
23.02,440.5
27.71,435.04
10.46,472.16
27.18,442.16
